Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit3.chtc.wisc.edu,"69,143","100,288","78,858","65,536",440,"24,415",2,"2,288","94,807","97,092",00:00,00:07,00:21,00:42,297:59,01:16,07:04
submit2.chtc.wisc.edu,"60,504","60,842","15,919","75,776","3,663","97,657",16,"1,967","16,400","16,935",00:00,00:03,00:22,00:37,80:36,02:19,07:28
keles-submit.chtc.wisc.edu,"24,230","24,494","22,189","4,096","1,709","4,151",1,0,"22,209","22,217",00:03,00:20,00:37,01:19,51:02,01:06,01:38
submit-1.chtc.wisc.edu,"21,464","23,074","15,468","40,960",20,"41,504",8,"9,638","15,716","16,157",00:00,00:00,00:00,00:04,71:15,00:48,04:11
osggrid01.hep.wisc.edu,"9,385","9,385","3,318","15,000",123,"17,090",8,12,"3,319","3,423",00:00,00:21,00:21,00:30,23:09,02:45,05:24
wrightsubmit.chtc.wisc.edu,"6,108","6,140","54,015","2,000","1,253","1,297",1,0,"54,204","54,349",00:02,00:05,00:06,00:07,01:19,00:06,00:02
login06.hep.wisc.edu,"5,814","6,503","12,184","14,000",1,"14,649",1,"9,062","12,240","16,044",00:00,00:00,00:00,00:01,49:26,00:32,03:22
sub-1.icecube.wisc.edu,"4,128","5,539","5,713","6,144","2,442","7,325",1,51,"5,787","5,783",00:00,00:01,00:26,01:14,83:10,00:58,04:03
login03.hep.wisc.edu,"3,972","4,051","4,518","3,000",293,"7,325",1,"1,538","4,519","4,440",00:00,00:00,00:01,00:02,19:48,00:53,03:02
sub-simprod-2.icecube.wisc.edu,"3,864","5,387","5,177","3,300",220,"7,325",2,117,"5,362","5,524",00:00,00:06,00:09,00:10,65:21,00:32,02:07
lhcb-ce.chtc.wisc.edu,"3,152","3,152",335,"2,000","2,198","2,198",1,0,335,342,02:54,05:23,06:42,10:59,39:04,09:24,06:13
login05.hep.wisc.edu,"2,774","2,844","11,205","7,000",123,977,1,"4,121","11,212","26,336",00:00,00:00,00:02,00:05,19:13,00:15,00:53
roy-exec-1.discovery.wisc.edu,"1,039","1,039",141,"5,120",123,171,1,0,141,141,04:28,06:10,07:04,08:08,15:54,07:22,01:34
login02.hep.wisc.edu,710,716,"1,557","2,000",245,733,1,7,"1,557","4,164",00:00,00:15,00:29,00:34,01:34,00:27,00:14
exocet.bmrb.wisc.edu,418,586,240,"3,126",318,"2,198",1,0,258,256,00:14,01:31,01:34,01:44,37:27,02:26,04:49
cmsgrid01.hep.wisc.edu,244,244,147,"20,000",1,"3,418",8,0,147,147,00:01,00:01,00:02,00:02,08:02,00:14,01:12
login01.physics.wisc.edu,215,215,6,"6,144","7,325","7,325",1,0,6,6,33:44,33:44,34:42,34:52,39:15,35:53,02:22
deepdivesubmit2000.chtc.wisc.edu,154,234,144,"15,000","2,686","4,319",1,0,145,216,00:07,00:38,01:35,02:32,05:08,01:37,01:04
roy-submit.discovery.wisc.edu,137,343,1,"130,000","122,071","122,071",1,0,5,5,342:57,342:57,342:57,342:57,342:57,342:57,00:00
osg-sw-submit.chtc.wisc.edu,120,153,921,"2,048",74,"2,198",1,243,922,926,00:00,00:00,00:02,00:06,02:56,00:09,00:19
batlabsubmit0001.chtc.wisc.edu,100,367,710,"9,829",0,"9,766",4,490,710,572,00:00,00:00,00:00,00:43,16:16,00:30,01:30
townsend-submit.chtc.wisc.edu,85,115,14,"65,536","73,243","73,243",1,0,14,11,00:05,00:32,06:19,12:03,27:26,08:10,08:32
login01.hep.wisc.edu,59,59,22,"1,992",440,440,1,0,22,22,02:11,02:27,02:41,02:47,03:12,02:40,00:15
learn.chtc.wisc.edu,15,15,3,"12,288","14,649","14,649",1,0,3,3,00:05,00:05,05:17,05:17,09:32,04:58,04:43
login04.hep.wisc.edu,9,20,478,"2,500",245,733,1,92,478,"1,598",00:00,00:01,00:01,00:01,00:31,00:02,00:04
htcondor.erc.wisc.edu,7,7,1,"8,192","4,282","4,282",1,0,1,1,06:54,06:54,06:54,06:54,06:54,06:54,00:00
mir-submit1.discovery.wisc.edu,2,4,82,"5,000",0,171,1,22,82,80,00:00,00:00,00:01,00:01,00:52,00:02,00:08
testpost-serv-1.aoc.nrao.edu,0,0,2,512,3,4,1,2,2,2,00:00,00:00,00:00,00:00,00:00,00:00,00:00
