scheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB,Min,25%,Median,75%,Max,Mean,Std
submit2.chtc.wisc.edu,153613,153804,115550.87,114475.47,20,390625,370147,0,0.05,0.14,0.27,911.14,0.75,4.31
login02.hep.wisc.edu,2484,2484,1298.31,1298.21,1,318,299,0,0.31,0.5,0.63,3.07,0.52,0.29
cmsgrid01.hep.wisc.edu,2761,2761,20911.99,20911.53,8,17090,15646,0.02,2.68,2.68,2.68,478.71,7.57,43.39
sub-1.icecube.wisc.edu,103407,110240,155235.12,122887.13,1,14649,13567,0,0.03,0.21,0.61,82.24,1.19,3.04
login06.hep.wisc.edu,1156,1165,9695.66,9551.32,1,7325,5836,0,5.21,7.43,11.46,20.14,8.26,4.65
submit3.chtc.wisc.edu,702,886,1995.07,891.06,1,34180,31975,0,0.04,0.05,0.08,16.4,1.27,3.06
login04.hep.wisc.edu,12769,12790,11785.02,9480.71,1,2198,2019,0,0.06,0.15,0.75,20.98,0.74,1.34
roy-submit.discovery.wisc.edu,234,315,6629.96,6223.58,1,122071,119281,0,0.46,31.27,42.99,175.04,26.6,21.26
submit-1.chtc.wisc.edu,152575,152783,42844.79,42134.24,32,170899,152682,0,0.09,0.14,0.18,1204.53,0.28,4.27
login05.hep.wisc.edu,2577,2595,15009.55,14474.29,1,4883,4719,0,1.21,4.29,8.59,25.86,5.62,5.21
osggrid01.hep.wisc.edu,8319,8319,23694.14,23694.07,8,12208,11179,0.16,0.34,0.39,0.46,181.13,2.85,19.08
lhcb-ce.chtc.wisc.edu,719,719,6361.08,6361.07,1,1954,1762,2.41,5.51,6.77,8.92,34.41,8.85,5.44
sub-simprod-2.icecube.wisc.edu,9628,9979,5321.33,3069.12,2,48829,48141,0,0,0.01,0.02,42.24,0.32,2.01
login01.physics.wisc.edu,228,801,4754.67,3523.98,1,4639,4509,5.86,8.76,14.66,15.75,42.52,15.46,6.95
login01.hep.wisc.edu,3662,3662,2122.82,2122.68,1,2198,2043,0.01,0.41,0.54,0.68,8.84,0.58,0.46
login03.hep.wisc.edu,40732,40748,8398.29,8120.93,1,7325,5710,0,0.01,0.01,0.01,19.51,0.2,1.24
exocet.bmrb.wisc.edu,4232,5257,10086.14,7612.76,1,2442,2220,0,1.22,1.63,2.16,16.69,1.8,1.54
keles-submit.chtc.wisc.edu,5,5,6.56,6.56,1,977,915,0.04,0.04,0.86,0.86,4.34,1.31,1.77
htcondor.erc.wisc.edu,4,4,367.66,367.66,8,8658,8661,52.68,52.68,84.68,86.4,145.63,91.92,38.88
osghost.chtc.wisc.edu,238,239,533.4,519.54,1,2198,2048,0,1.27,2.46,2.87,3.93,2.18,1.02
townsend-submit.chtc.wisc.edu,5,5,36.95,36.95,1,3418,3287,0.15,0.15,11.86,11.86,12.49,7.39,6.58
mir-submit1.discovery.wisc.edu,6,6,0.02,0,1,0,0,0,0,0,0,0,0,0
roy-exec-1.discovery.wisc.edu,1,4,35.96,34.55,1,7325,6470,34.55,34.55,34.55,34.55,34.55,34.55,0
