Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,ShortJobStarts,All Starts,Min,25%,Median,75%,Max,Mean,Std
sub-1.icecube.wisc.edu,76734.28,87949.64,107750,9893,2442,12208,1,3451,114744,0.0,0.06,0.4,0.7,18.3,0.71,1.04
submit3.chtc.wisc.edu,56693.39,63281.63,27988,31096,98,31739,2,0,29362,0.0,0.13,0.17,1.67,71.72,2.03,4.79
submit2.chtc.wisc.edu,49053.7,49776.27,24205,33013,993,34180,20,5349,24209,0.0,0.02,0.37,0.64,1803.14,2.03,18.05
roy-submit.discovery.wisc.edu,40688.5,50377.75,21939,30622,1954,31739,1,0,124246,0.31,1.5,1.81,2.09,111.17,1.85,1.35
submit-1.chtc.wisc.edu,15657.19,16339.39,6604,58374,32,73243,16,1240,8525,0.0,0.04,0.32,0.94,1721.86,2.37,21.67
login01.hep.wisc.edu,13237.31,18682.21,806,8997,7325,9766,1,0,1486,0.0,12.59,17.38,20.74,28.95,16.42,5.79
login06.hep.wisc.edu,11660.62,11992.4,3062,6100,123,7325,1,0,3065,0.0,0.25,2.2,6.94,24.21,3.81,4.16
cmsgrid01.hep.wisc.edu,10605.47,10605.48,177,14164,1,14649,8,0,177,0.02,0.03,0.04,0.05,480.16,59.92,154.41
lhcb-ce.chtc.wisc.edu,5636.92,5636.93,799,1769,1465,1954,1,0,799,0.09,4.95,5.69,6.59,24.36,7.05,4.39
osggrid01.hep.wisc.edu,1871.98,1871.99,818,6202,3,7325,8,0,818,0.26,0.35,0.37,0.44,117.2,2.29,8.27
sub-simprod-2.icecube.wisc.edu,1447.2,3596.99,487,2875,1465,2930,2,29,750,0.0,0.21,0.78,5.19,36.6,2.97,4.34
roy-exec-1.discovery.wisc.edu,648.01,2387.6,10,6827,7325,7325,1,0,898,7.2,20.23,59.34,67.74,114.32,64.8,35.32
osghost.chtc.wisc.edu,547.97,558.66,305,2048,2198,2198,1,15,305,0.0,0.87,1.64,2.66,3.7,1.8,1.07
login05.hep.wisc.edu,328.62,386.56,107,6921,269,7325,1,4,107,0.0,0.35,1.78,3.11,23.61,3.07,5.08
htcondor.erc.wisc.edu,163.29,163.29,11,3472,2987,3471,1,0,11,6.84,7.19,15.31,18.85,21.3,14.84,5.37
login03.hep.wisc.edu,81.35,100.79,8787,5295,2,7325,1,7703,8787,0.0,0.0,0.0,0.01,10.51,0.01,0.11
exocet.bmrb.wisc.edu,19.29,1776.41,19,404,1,416,1,0,21,0.08,0.09,0.12,0.15,13.56,1.02,3.13
deepdivesubmit2000.chtc.wisc.edu,0.22,0.72,5,3505,424,733,1,2,5,0.0,0.0,0.0,0.0,0.22,0.04,0.1
