Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit-1.chtc.wisc.edu,110632,177739,2806,81920,318,50842,10,32,7395,10025,00:00,38:33,66:09,94:27,192:37,39:25,36:06
submit2.chtc.wisc.edu,99702,100254,29803,61440,977,46387,16,666,29837,29859,00:00,00:56,01:04,01:18,268:17,03:20,08:40
submit3.chtc.wisc.edu,47814,67394,25551,19532,440,9766,1,1054,49449,52513,00:00,00:06,00:09,01:28,288:41,01:52,11:17
cmsgrid01.hep.wisc.edu,25601,25602,254,20000,1,17090,8,0,254,255,00:01,00:02,00:03,12:14,60:06,100:47,21:49
sub-1.icecube.wisc.edu,15793,16096,4616,10240,245,9766,1,3,4761,5006,00:00,02:48,03:19,04:00,63:09,03:25,01:18
login03.hep.wisc.edu,12768,13778,2411,3000,147,7325,1,23,2438,2815,00:00,00:20,04:35,08:50,42:07,05:17,05:38
sub-simprod-2.icecube.wisc.edu,5428,8570,2700,3850,1221,7325,2,53,3105,3411,00:00,00:06,00:09,01:22,95:40,02:00,03:49
exocet.bmrb.wisc.edu,3203,4846,441,3126,391,1954,1,0,980,1006,02:44,07:30,10:16,13:08,31:47,07:15,05:08
roy-submit.discovery.wisc.edu,3181,8050,148,53712,24415,31739,1,0,1442,1728,15:20,31:54,38:37,48:53,388:57,21:29,68:28
login06.hep.wisc.edu,2410,2440,2443,3000,18,7325,1,86,2444,2515,00:00,00:03,00:05,00:07,38:23,00:59,03:37
lhcb-ce.chtc.wisc.edu,2035,2035,356,2000,1465,2198,1,0,356,356,02:55,04:34,05:27,06:23,32:39,05:42,02:34
osggrid01.hep.wisc.edu,1954,1954,271,15000,171,7325,8,0,271,276,00:16,00:21,00:22,19:49,22:59,07:12,08:54
login02.hep.wisc.edu,1318,1458,38835,2500,98,2686,1,26448,38839,38712,00:00,00:00,00:00,00:01,05:11,00:02,00:06
deepdivesubmit2000.chtc.wisc.edu,1145,1361,653,14000,2442,9864,1,1,666,764,00:00,00:04,01:33,03:12,13:05,01:45,02:08
login01.hep.wisc.edu,672,915,47,14000,7325,14649,1,11,79,78,00:00,00:00,26:31,28:00,63:49,14:18,14:17
osghost.chtc.wisc.edu,473,484,238,2048,2198,2198,1,7,239,256,00:00,01:18,02:09,02:33,04:13,01:59,00:48
roy-exec-1.discovery.wisc.edu,219,1036,3,51200,7325,7325,1,0,314,340,297:29,297:29,326:15,326:15,412:33,73:02,59:52
htcondor.erc.wisc.edu,53,124,3,16384,161,3474,8,0,5,5,00:02,00:02,00:03,00:03,122:57,17:48,70:57
login05.hep.wisc.edu,12,29,354,3000,18,3907,1,60,354,185,00:00,00:01,00:04,00:06,00:52,00:02,00:05
townsend-submit.chtc.wisc.edu,5,13,9,6144,123,1709,1,0,9,5,00:14,00:34,01:11,01:34,04:25,00:31,01:14
mir-submit1.discovery.wisc.edu,0,33,5,1,0,0,1,2,5,3,00:00,00:00,00:01,00:01,16:33,00:00,09:03
