scheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB
sub-1.icecube.wisc.edu,28307,34088,88373.99,78537.93,1,4395,4152
submit3.chtc.wisc.edu,10533,18322,20632.63,12513.22,1,19532,17342
login05.hep.wisc.edu,17892,19483,7838.02,7021.26,1,367,353
login03.hep.wisc.edu,1969,2038,10072.45,9861.83,1,2930,2752
submit2.chtc.wisc.edu,26121,26674,17288.37,15730.44,16,24415,23933
osghost.chtc.wisc.edu,249,271,574.21,454.09,1,2198,2048
cmsgrid01.hep.wisc.edu,717,717,5147.64,5147.24,8,17090,15578
submit-1.chtc.wisc.edu,39394,39921,25556.93,24576.63,20,73243,52727
deepdivesubmit2000.chtc.wisc.edu,160,161,280.58,249.46,1,2686,2560
osggrid01.hep.wisc.edu,2804,2805,17699.08,17698.92,8,12208,9815
oconnorsubmit3000.chtc.wisc.edu,108,113,31.92,28.28,2,637,923
lhcb-ce.chtc.wisc.edu,562,564,2943.42,2939.17,1,2198,2048
exocet.bmrb.wisc.edu,51,51,118.46,118.46,1,2198,2120
batlabsubmit0001.chtc.wisc.edu,434,434,249.84,106.26,1,2930,2806
login01.hep.wisc.edu,5,5,18.57,12.36,1,2198,2145
townsend-submit.chtc.wisc.edu,30,30,180.51,167.07,1,4151,4096
learn.chtc.wisc.edu,2,2,0.05,0.05,1,10,8
login02.hep.wisc.edu,7892,7893,136.26,113.16,1,1465,1411
login04.hep.wisc.edu,140,281,20.79,17.33,1,196,180
sub-simprod-2.icecube.wisc.edu,12663,13082,21661.29,18197.08,10,21973,20316
roy-exec-1.discovery.wisc.edu,5,25,3.81,3.77,1,2198,2156
submittest0000.chtc.wisc.edu,1,1,0.05,0.05,1,1,0
htcondor.erc.wisc.edu,1,1,11.43,11.38,8,4595,4596
